Unnamed: 0,城市,职位名称,公司名称,公司规模,公司类型,薪资,学历要求,技能要求,工作经验要求,评分
9219,南京,项目经理,江苏天茂建设有限公司,100-299人,民营,1万-1.2万,大专,装修装饰项目 ,5-10年,6.6
9220,南京-玄武,项目经理（装饰装修）,中国电建集团江西省电力建设有限公司,1000-9999人,国企,1万-2万,本科,装修管理 装修造价 ,3-5年,7.1
9221,南京-玄武,智能化工程项目经理,扬州润都通信科技有限公司,100-299人,无,8千-1万,学历不限,通信项目管理 通信设备装维 网络协议 移动通信 ,不限,5.0
9222,南京-江宁,项目经理（驻外）,江苏锦信建设有限公司,100-299人,民营,1.5万-2万,大专,钢结构项目 ,10年以上,6.85
9223,南京-雨花台,项目经理（市政）,江苏腾煜建设有限公司,20-99人,民营,1.2万-1.5万,本科,建筑施工管理 市政施工 ,10年以上,6.6
9224,南京,精装项目经理,中核华纬工程设计研究有限公司,1000-9999人,国企,1万-2万,大专,装修管理 进度管理 质量管理 ,10年以上,7.6
9225,南京,项目经理（江苏）,卫宁健康,1000-9999人,民营,9千-1.5万,本科,软件项目 信息系统项目 ,5-10年,7.3
9226,南京-鼓楼,项目经理,南京高泰科技有限公司,100-299人,民营,1.5万-3万,本科,软件项目 ,3-5年,6.25
9227,南京,项目经理（景观施工）,江苏点睛园林景观工程有限公司,20-99人,民营,1.5万-2万,大专,施工 成本控制 结算 office 施工管理 工程管理 安全防护 ,5-10年,6.35
9228,南京-鼓楼,项目经理,优玛软件,500-999人,股份制企业,1.3万-1.8万,本科,IT项目 软件项目 物联网 信息系统项目 ,3-5年,6.7
9229,南京,项目经理,江苏省金陵建工,1000-9999人,民营,1.8万-2.5万,大专,房建工程 住宅建筑 商业建筑 工业建筑 一级建造师（建筑工程） 一级建造师（公路工程） 一级建造师（市政工程） ,10年以上,7.45
9230,南京-雨花台,项目经理,中津建设工程江苏有限公司,20-99人,民营,1.5万-2万,大专,市政、土建工程施工 一级建造师（市政、土建） 项目管理 ,10年以上,6.55
9231,南京-建邺,装修项目经理,江苏里末建筑装饰设计有限公司,20人以下,民营,1万-2万,大专,装修装饰项目 室内装饰 工装 ,3-5年,5.75
9232,南京-浦口,市政项目经理,安徽融亿建筑工程有限公司,100-299人,民营,1.7万-2.5万,大专,工程施工管理 市政工程 一级建造师（市政工程） 项目经理 ,5-10年,6.65
9233,南京-栖霞,项目经理,江苏苏纯环保科技有限公司,20-99人,民营,1.5万-2万,大专,硬件项目 电气项目 环保项目 机电项目 能源项目 水利项目 电力项目 ,1-3年,5.75
9234,南京-鼓楼,项目经理（电网-南京）,绛门科技,1000-9999人,上市公司,1.4万-2万,本科,电网项目 PMP项目管理认证 ,3-5年,7.3
9235,南京,项目经理,新希望物业服务集团有限公司,1000-9999人,股份制企业,1万-1.4万,大专,住宅地产 物业管理从业人员岗位证书 ,3-5年,6.9
9236,南京-浦口,项目经理（新能源）,北京智盟信通科技有限公司,300-499人,民营,1.2万-2万,本科,IT项目 软件项目 智能化项目 电力项目 Java项目 Linux项目 分布式光伏 软硬件集成 ,3-5年,6.45
9237,南京-雨花台,项目经理,信息产业电子第十一设计研究院科技工程股份有限公司南京分公司,300-499人,国企,3万-5万,本科,智能化项目 建筑项目 ,5-10年,7.6
9238,南京-雨花台,项目经理,南京众硕建筑装饰工程有限公司,100-299人,股份制企业,1.3万-1.4万,大专,建筑项目 ,3-5年,6.3
9240,南京-雨花台,通信项目经理（PMG）,嘉环科技股份有限公司,1000-9999人,民营,1.3万-2万,本科,管道 传输线路 传输管道 驻地网 室内覆盖 室分项目 通信项目管理 ,1-3年,6.7
9241,南京-雨花台,项目经理,江苏盘古机器人科技有限公司,100-299人,民营,1.4万-2.8万,本科,PMP项目管理认证 ,3-5年,6.3
9242,南京-栖霞,装饰工程项目经理,南京千畅建设有限公司,20-99人,民营,1.2万-2万,大专,建筑项目 一级建造师（建筑工程） 高级工程师 一级建造师（机电） ,5-10年,6.3
9243,南京-雨花台,园林绿化项目经理,江苏十朝春建设工程有限公司南京分公司,100-299人,民营,2万-2.5万,大专,工程施工管理 市政工程 绿化工程 园林工程 ,5-10年,6.95
9244,南京-浦口,项目经理,南京海鲸药业股份有限公司,300-499人,股份制企业,1.2万-1.8万,本科,医疗建筑 工业建筑 ,5-10年,6.95
9246,南京-秦淮,项目经理,江苏普旭科技股份有限公司,100-299人,民营,1.5万-2.5万,本科,过程管理 实施 需求分析 项目管理 解决方案 ,5-10年,6.65
9247,南京-秦淮,工程项目经理,北京西麦建筑工程有限公司,20-99人,民营,1.3万-1.6万,大专,工程施工管理 机电工程 市政工程 土建工程 装饰装修工程 商业建筑 工业建筑 ,1-3年,5.7
9248,南京-雨花台,园林项目经理,南京国豪,500-999人,民营,1万-2万,大专,项目管理 园林景观 ,5-10年,6.9
9249,南京,市政项目经理,南京硕达建设工程有限公司,20-99人,股份制企业,1.6万-2.2万,大专,过程管理 项目管理 实施 解决方案 市政施工 ,5-10年,6.45
9250,南京-雨花台,项目经理-南京,南京软核科技有限公司,20-99人,民营,1万-1.8万,大专,软件项目 ,1-3年,5.7
9251,南京-江宁,项目经理,中电二公司,1000-9999人,国企,1.5万-2万,本科,机电项目 ,10年以上,7.65
9252,南京-玄武,项目经理/施工经理,上海和菱工程项目咨询有限公司,20人以下,民营,1.5万-2.5万,大专,工程施工管理 ,5-10年,6.2
9253,南京-建邺,一级建造师/项目经理,江苏合发集团有限责任公司,100-299人,国企,1万-2万,大专,一级建造师（建筑工程） ,5-10年,6.8
9254,南京,项目经理,联奕科技股份有限公司,500-999人,民营,8千-1.5万,本科,软件项目 项目管理 Oracle Linux ,3-5年,6.6
9255,南京-雨花台,装修项目经理,南京涵志装饰工程有限公司,20-99人,民营,1万-1.5万,大专,装修管理 成本管理 安全管理 软装项目 住宅地产 商业地产 办公地产 ,5-10年,6.3
9256,南京,机电项目经理,雨润集团,10000人以上,民营,2万-2.5万,大专,房建工程 给排水工程 暖通工程 机电工程 电气工程 安装工程 施工单位 ,5-10年,7.7
9257,南京-雨花台,项目经理,南京贝伦思网络科技股份有限公司,100-299人,民营,1.5万-3万,本科,C++项目 PMP项目管理认证 ,3-5年,6.25
9259,南京-高淳,土建项目经理/施工员,南京淳青建设有限公司,20-99人,民营,8千-1万,大专,商业地产 住宅地产 旧改项目 公共建筑 高层建筑 历史建筑 ,5-10年,6.3
9260,南京-雨花台,项目经理,北京三维天地科技股份有限公司,1000-9999人,股份制企业,1.2万-1.8万,本科,软件项目 信息系统项目 PMP项目管理认证 ,3-5年,7.0
9261,南京-栖霞,物业项目经理,碧桂园生活服务集团股份有限公司,10000人以上,民营,面议,大专,住宅地产 物业管理从业人员岗位证书 ,3-5年,6.95
9262,南京-栖霞,工程项目经理,南京中淮宁科技产业集团有限公司,20-99人,无,8千-1.3万,大专,工程监理 工程施工管理 ,10年以上,5.9
9263,南京-秦淮,项目经理,南京迈特望科技股份有限公司,1000-9999人,股份制企业,1万-1.5万,本科,有PMP证书且在有效期内优先 计算机，通讯专业本科优先 具备实际编程技能经验的优先 ,3-5年,7.0
9264,南京-江宁,项目经理,广东永光新能源设计咨询有限公司江苏分公司,20人以下,民营,1.5万-2.5万,大专,钢结构项目 光伏 新能源 ,3-5年,5.8
9266,南京-秦淮,施工项目经理,四川省建筑机械化工程有限公司,1000-9999人,国企,1.5万-3万,学历不限,一级建造师（建筑工程） ,10年以上,7.65
9267,南京,系统集成项目经理,南京迈奥智能科技有限公司,20-99人,民营,7千-1.3万,大专,项目管理 系统架构 ,1-3年,5.7
9268,南京,项目经理,江苏诚晖工程技术有限公司,20-99人,民营,1万-1.8万,大专,建筑施工 中级职称 ,5-10年,6.3
9269,南京-玄武,项目经理,中国电建集团江西省电力建设有限公司,1000-9999人,国企,1万-2万,本科,建筑项目 市政项目 土建项目 现场项目管理 ,5-10年,7.5
9271,南京-栖霞,物业项目经理,润加物业服务(上海)有限公司南京分公司,500-999人,民营,7千-9千,大专,住宅地产 ,3-5年,6.5
9272,南京-雨花台,项目经理（市政方向）,南京环美科技股份有限公司,100-299人,股份制企业,1万-2万,大专,市政工程 工程施工管理 ,3-5年,6.3
9273,南京-江宁,实施项目经理,浙江保融科技股份有限公司,1000-9999人,股份制企业,1.1万-2万,本科,财务系统 Oracle MySQL Linux Windows Tomcat WebSphere WebLogic ,3-5年,7.0
9274,南京-建邺,物业项目经理,佳兆业物业管理有限公司,1000-9999人,外商独资,1万-1.8万,大专,住宅地产 ,5-10年,7.5
9275,南京-建邺,项目经理,中化学生态环境有限公司北京分公司,100-299人,国企,1.5万-2.5万,本科,市政施工 给排水工程 环保工程 施工单位 一级建造师（市政工程） 二级建造师（市政公用） ,5-10年,6.85
9276,南京-鼓楼,项目经理（南京）,浪潮集团,10000人以上,国企,1万-2万,本科,软件项目 PMP项目管理认证 IT项目 智能化项目 能源项目 ,3-5年,7.25
9277,南京-建邺,智能化项目经理,南京可瑞尔教育科技有限公司,20-99人,其它,1.4万-1.5万,大专,智能化项目 信息系统项目 ,3-5年,5.8
9278,南京-江宁,机电安装项目经理,南京秦淮之源智能科技有限公司,100-299人,民营,1.2万-1.5万,大专,一级建造师（机电工程） 二级建造师（机电工程） 高级机电工程师证 ,5-10年,6.6
9279,南京,PMO项目经理,南京高泰科技有限公司,100-299人,民营,1万-2万,本科,软件项目 云计算 物联网 系统集成 ,3-5年,6.3
9280,南京-玄武,项目经理,普菲度(苏州)装饰工程有限公司,20-99人,无,1.5万-2.2万,学历不限,装修装饰项目 ,5-10年,5.75
9281,南京-鼓楼,项目经理,北京嘉诚瑞杰信息技术有限公司,500-999人,民营,1.5万-2.5万,本科,Oracle项目 PMP项目管理认证 ,3-5年,6.55
9282,南京-六合,工程项目经理,中国燃气,10000人以上,上市公司,8千-1.6万,大专,二级建造师（市政公用） 一级建造师（市政工程） 工程建设 燃气管道 ,5-10年,7.75
9283,南京-江宁,工程项目经理,南京美赛展览工程有限公司,20-99人,民营,1万-1.5万,大专,装修工程 ,1-3年,5.7
9284,南京-栖霞,市政项目经理,南京锦驰建筑工程有限公司,20-99人,民营,1.3万-1.5万,本科,市政项目 公路项目 建筑项目 房地产项目 ,3-5年,6.0
9285,南京-雨花台,项目经理,江苏双顺源消防工程有限公司,无,无,1万-2万,中专/中技,建筑项目 消防方向 建造师 ,1-3年,4.6
9286,南京-江宁,软件项目经理,南京天洑软件有限公司,20-99人,民营,2万-4万,本科,PMP项目管理认证 ,5-10年,6.65
9287,南京-雨花台,项目经理(HR产品线)(全国)(区域不限),泛微网络科技股份有限公司,1000-9999人,上市公司,1.2万-2万,大专,OA ERP 软件实施 项目交付 项目验收 EHR 人事系统 人力系统 ,1-3年,7.0
9288,南京-建邺,项目经理,江苏中隆物业管理有限公司,300-499人,无,8千-1万,大专,物业管理从业人员岗位证书 ,1-3年,5.55
9289,南京-鼓楼,项目经理,南京云昇信息技术有限公司,20人以下,民营,1.4万-2万,本科,PMP项目管理认证 信创 ,3-5年,5.85
9290,南京-栖霞,软件实施项目经理,南京云档信息科技有限公司,100-299人,民营,1.4万-2万,本科,IT项目 软件项目 信息系统项目 ,3-5年,6.3
9291,南京-鼓楼,项目经理（全国环保工程项目）,高能环境,1000-9999人,上市公司,1.5万-3万,大专,市政工程 EPC总包 施工单位 工程施工管理 ,5-10年,7.65
9292,南京-雨花台,项目经理（智能立库）,江苏泰治科技股份有限公司,100-299人,股份制企业,1.2万-2万,本科,物联网 智能化项目 ,1-3年,6.2
9294,南京,项目经理（机电、市政）,久吾高科,300-499人,上市公司,1.5万-2.5万,本科,二级建造师（机电工程） 一级建造师（市政工程） 一级建造师（机电工程） ,3-5年,6.8
9295,南京-江宁,产品/项目经理（软件、系统、平台）,华凤技术(南京)有限公司,100-299人,民营,1万-2万,大专,软件产品 AI产品 商业化产品 移动端 PC端 ERP系统 CRM系统 财务系统 OA系统 ,3-5年,6.2
9296,南京-江宁,项目经理,南京促普软件技术有限公司,20-99人,民营,2万-2.5万,本科,软件项目 智能化项目 信息系统项目 能源项目 电力项目 电厂信息化 MIS SIS ,1-3年,6.05
9297,南京,JAVA项目经理,南京悦能智能科技有限公司,20-99人,民营,1.2万-2.4万,大专,后端开发 Java Kafka Oracle MySQL SQL WEB开发 Mybatis ,3-5年,5.9
9298,南京-江宁,项目经理,东揽(南京)智能科技有限公司,20人以下,民营,1.5万-2.5万,本科,系统集成 全栈项目 PMP项目管理认证 ,5-10年,6.2
9300,南京-江宁,项目经理,碧桂园控股-沈阳腾越建筑工程有限公司,1000-9999人,民营,1.6万-2万,大专,住宅地产 高层建筑 ,5-10年,7.25
9301,南京,项目经理,智联猎头,1000-9999人,上市公司,2万-3万,本科,工程管理 成本控制 施工管理 设计管理 ,5-10年,7.95
9302,南京-秦淮,项目经理,北京创智和宇科技有限公司,100-299人,民营,1万-1.5万,本科,软件项目 ,3-5年,6.3
9304,南京-江宁,项目经理（能驻外）,江苏苏祥建设工程有限公司,20-99人,股份制企业,1万-1.5万,大专,公共建筑 工业地产 广联达 一级建造师（建筑工程） 具有一级建造师 ,5-10年,6.4
9305,南京-浦口,项目经理,南京南大尚诚软件科技有限公司,100-299人,民营,1万-1.8万,本科,PMP项目管理认证 ,5-10年,6.7
9306,南京-玄武,工装项目经理,北京瑞祥嘉谊建筑装饰工程有限公司南京分公司,20-99人,无,2万-3万,高中,商业地产 办公地产 ,10年以上,6.25
9307,南京-建邺,审计项目经理,宿迁吉鑫工程机械有限公司,无,无,1.5万-2.2万,本科,税务审计 财务审计 ,3-5年,4.9
9308,南京-江宁,施工项目经理,南京爱维斯智能装备科技有限公司,100-299人,民营,2万-2.8万,大专,土建工程 ,10年以上,7.15
9309,南京-浦口,项目经理（非标自动化）,南京黎创智能装备有限公司,无,无,8千-1.4万,大专,机器人项目 智能化项目 电气项目 机电项目 机械项目 汽车项目 PMP项目管理认证 工业视觉、智能制造 ,3-5年,4.85
9311,南京-雨花台,项目经理,北京迅奥科技有限公司,20-99人,民营,1.1万-2万,本科,软件项目 IT项目 大数据项目 云计算 全栈项目 前端项目 PMP项目管理认证 ,3-5年,6.0
9312,南京-雨花台,招聘项目经理-R10346,北京三维天地科技股份有限公司,1000-9999人,股份制企业,1.5万-2万,本科,IT项目 Java项目 ,3-5年,6.95
9313,南京-江宁,项目经理,远洋亿家物业服务股份有限公司南京分公司,1000-9999人,股份制企业,1.2万-1.5万,本科,商业地产 住宅地产 办公地产 产业地产 工业地产 综合体 物业管理从业人员岗位证书 物业管理师 ,3-5年,7.0
9314,南京-雨花台,项目经理,江苏驰逸科技有限公司,20人以下,民营,8千-1.5万,大专,院校客户 企业客户（2B） 大客户（KA） 仪器仪表 环保 机械/重工 硬件行业 软件行业 ,1-3年,5.55
9315,南京-玄武,项目经理,南京捷希科技有限公司,100-299人,民营,1.1万-1.8万,本科,PMP项目管理认证 项目跟踪 项目助理 项目经理 ,3-5年,6.3
9316,南京,项目经理,南京音飞储存设备（集团）股份有限公司,500-999人,上市公司,7千-1.4万,本科,系统集成 实施项目 PMP项目管理认证 物流仓储项目 智能化项目 ,1-3年,6.8
9317,南京-玄武,实施项目经理-南京,浙江保融科技股份有限公司,1000-9999人,股份制企业,1万-2万,大专,软件实施 ,3-5年,6.9
9318,南京,项目经理,南京擎天科技有限公司,500-999人,民营,1万-1.5万,本科,软件项目 大数据项目 Java项目 ,3-5年,6.6
9319,南京-玄武,装饰装修项目经理,普菲度(苏州)装饰工程有限公司,20-99人,无,1.2万-2.4万,学历不限,成本管理 安全管理 装修管理 装修造价 商业地产 ,5-10年,5.7
9320,南京-建邺,项目经理,南京首安科技有限公司,无,无,1万-1.5万,本科,系统集成 实施项目 ,5-10年,5.35
9321,南京-玄武,弱电/智能化项目经理,上海牧泰信息技术有限公司,20-99人,民营,9千-1.4万,大专,弱电施工 弱电调试 安防系统 楼宇自控系统 广播系统 工业建筑 医疗建筑 生态工业园 ,3-5年,5.9
9323,南京-鼓楼,项目经理,南京迈特望科技股份有限公司,1000-9999人,股份制企业,1.3万-2.2万,大专,Java项目 C++项目 系统集成 ,3-5年,6.9
9324,南京-栖霞,项目经理,北京金辉锦江物业服务有限公司,1000-9999人,民营,1.1万-1.4万,本科,物业服务 ,3-5年,6.9
9326,南京-玄武,弱电项目经理,南京沃康信息工程有限公司,20-99人,民营,8千-1.5万,本科,弱电设计 弱电施工 安防系统 网络系统 楼宇自控系统 广播系统 通信系统 商业建筑 ,3-5年,6.0
9328,南京-秦淮,项目经理,南京驰风文化传播有限公司,20-99人,民营,7千-1万,本科,广告营销 ,3-5年,6.0
9329,南京-建邺,项目经理,南京金绿汇成信息科技有限公司,20-99人,民营,1.5万-2万,本科,软件项目 微服务项目 大数据项目 ,5-10年,6.35
9330,南京-江宁,物业项目经理,康桥悦生活服务集团有限公司,1000-9999人,上市公司,9千-1.1万,大专,物业管理从业人员岗位证书 ,3-5年,7.2
9331,南京-江宁,实施工程师/项目经理 【东南大学】,北京智麟科技有限公司,100-299人,民营,6千-9千,本科,实施工程师/顾问 售后支持 软件实施 项目验收 交接现场培训 软件应用培训 ,1-3年,6.1
9332,南京-鼓楼,项目经理,江苏金满城装饰设计工程有限公司,20-99人,民营,1.4万-1.5万,大专,工程造价 预算编制 结算 ,3-5年,5.9
9333,南京-鼓楼,物业项目经理,江苏金陵交运集团有限公司,1000-9999人,股份制企业,8千-1.5万,大专,商业地产 办公地产 产业地产 综合体 旧改项目 物业管理从业人员岗位证书 ,3-5年,6.9
9334,南京-雨花台,项目经理（网络/弱电技术方向）,南京晶石信息科技有限公司,20-99人,民营,9千-1.1万,大专,实施项目 ,3-5年,5.9
9335,南京-玄武,大项目经理（江苏省内））,上海益中亘泰(集团)股份有限公司,10000人以上,民营,1.2万-1.8万,大专,医院物业 物业 医院后勤管理 物业管理从业人员岗位证书 ,5-10年,7.35
9336,南京-浦口,弱电智能化项目经理,江苏天穗智能科技有限公司,20-99人,民营,1万-1.5万,大专,综合布线 施工 安装调试 CAD ,3-5年,5.9
9337,南京-鼓楼,项目经理-江苏分公司,央视国际网络有限公司,1000-9999人,国企,8千-1.5万,本科,经营开拓 ,3-5年,7.1
9339,南京-雨花台,项目经理,南京友拓信息技术有限公司,100-299人,民营,1.1万-1.8万,本科,信息系统项目 实施项目 ERP OA PMP项目管理认证 ,3-5年,6.3
9340,南京-鼓楼,项目经理（双休）,南京迈特望科技股份有限公司,1000-9999人,股份制企业,1.7万-2.2万,本科,软件项目 物联网 智慧城市 Java项目 ,5-10年,7.35
9341,南京-六合,项目经理,江苏蔺泽建设有限公司,100-299人,民营,1万-1.2万,大专,土建 房建 施工现场管理 工程施工 ,5-10年,6.6
9342,南京-建邺,机电安装项目经理,江苏天岩科技有限公司,20-99人,民营,1.5万-2.5万,学历不限,安装工程 强电工程 机电工程 ,10年以上,6.55
9343,南京-鼓楼,项目经理,南京哲上信息科技有限公司,20-99人,无,1万-2万,本科,Linux项目 PMP项目管理认证 IT项目 软件项目 网络项目 实施项目 ,3-5年,5.4
9344,南京-建邺,项目经理,江苏奢勇建筑工程有限公司,20-99人,无,2万-4万,大专,一级房建/市政/机电 ,5-10年,6.05
9345,南京,项目经理,江苏辉海信息科技有限公司,100-299人,民营,1.2万-1.6万,本科,系统设计、软件开发 ,3-5年,6.3
9346,南京-秦淮,物业项目经理-南京,人保投控(北京)运营管理有限公司,500-999人,国企,1万-1.5万,大专,物业管理 物业项目经理 办公地产 ,3-5年,6.7
9347,南京-秦淮,高级项目经理（智能装备）,江苏智仁景行新材料研究院有限公司,100-299人,民营,2万-2.8万,本科,PMP项目管理认证 智能化项目 机器人项目 非标自动化 工业自动化 智能制造 ,10年以上,7.15
9348,南京-建邺,土建项目经理,江苏平安消防集团有限公司,100-299人,民营,1.5万-2.5万,大专,土建工程 土木工程 ,5-10年,6.65
9349,南京-雨花台,市政工程项目经理,南京安透可智能系统有限公司,100-299人,民营,1.2万-1.5万,本科,市政规划 市政施工 给排水工程 ,5-10年,6.7
9350,南京,住宅精装修项目经理,南京国豪,500-999人,民营,1万-2万,大专,装修工程 施工管理 ,5-10年,6.9
9351,南京-玄武,MES/MOM项目经理,南京同庆科技有限公司,20-99人,民营,2万-2.5万,本科,PMP项目管理认证 ,3-5年,6.25
9352,南京-雨花台,自动化项目经理,江苏泰治科技股份有限公司,100-299人,股份制企业,1.2万-2.4万,本科,物联网 智能化项目 ,3-5年,6.4
9353,南京-江宁,项目经理,小视科技(江苏)股份有限公司,300-499人,民营,1.5万-2.5万,本科,公路项目 PMP项目管理认证 ,3-5年,6.4
9354,南京-江宁,项目经理（货架、仓储物流自动化）,江苏海胜智能装备科技有限公司,100-299人,民营,8千-1.4万,大专,机械项目 物流仓储项目 ,3-5年,6.2
9355,南京-溧水,工程部项目经理,南京威盾能源环保有限公司,20-99人,民营,1.2万-1.5万,大专,工程监理 工程施工管理 工程测量测绘 工程采购 土建工程 房建工程 ,5-10年,6.3
9356,南京-鼓楼,项目经理,中安建设安装集团有限公司,100-299人,民营,1万-1.2万,大专,暖通类项目 装修装饰项目 安防监控项目 机电项目 弱电项目 电力项目 ,3-5年,6.2
9357,南京-江宁,项目经理(J10047),南京北路智控科技股份有限公司,500-999人,上市公司,8千-1.5万,本科,项目经理 软件项目 硬件项目 物联网 智能化项目 通信项目 信息系统项目 PMP项目管理认证 ,1-3年,6.8
9358,南京-江宁,项目经理,南京磁谷科技股份有限公司,300-499人,民营,1万-2万,本科,项目管理 PMO ,3-5年,6.45
9360,南京-玄武,阳光新能源-工商业光伏项目经理/项目总工-江苏区,阳光新能源开发股份有限公司,1000-9999人,民营,2万-3.5万,本科,能源安全管理 ,5-10年,7.55
9361,南京-江宁,项目经理,上扬软件（上海）有限公司,300-499人,其它,2万-2.5万,大专,PMP项目管理认证 ,5-10年,7.0
9362,南京-雨花台,项目经理,中建六局水利水电建设集团有限公司,1000-9999人,国企,1.2万-1.5万,本科,水利工程 市政工程 房建工程 一级建造师（水利水电） 一级建造师（建筑工程） ,5-10年,7.5
9363,南京,项目经理,南京美鹏装饰工程有限公司,20-99人,民营,1.5万-2.2万,学历不限,装修装饰项目 ,10年以上,6.55
9364,南京-玄武,项目经理,南京市杰畅教育科技有限公司,20人以下,民营,7千-1万,本科,实验室安全管理 实验室安全员 ,1-3年,5.65
9365,南京-浦口,项目经理（地铁）,南京金基建筑工程发展有限公司,500-999人,民营,8千-1万,大专,材料管理 安全管理 成本管理 ,不限,5.9
9366,南京-建邺,分布式光伏项目经理,南京建发清洁能源有限公司,10000人以上,国企,1.8万-2.5万,本科,分布式光伏 光伏项目开发 ,3-5年,7.2
9367,南京-浦口,项目经理,江苏云鹏信息科技有限公司,20人以下,民营,8千-1.2万,大专,智能化项目 硬件项目 安防监控项目 造价项目 机电项目 弱电项目 知识产权项目 AI项目 ,3-5年,5.75
9368,南京-栖霞,项目经理,江苏瑞达环保科技有限公司,100-299人,股份制企业,1.5万-2万,本科,环保项目 机电项目 ,5-10年,6.75
9369,南京-建邺,信息化项目经理,江苏基久网络科技有限公司南京分公司,1000-9999人,民营,面议,大专,项目管理 信息化 ,1-3年,6.6
9370,南京,项目经理,南京天朗防务科技有限公司,100-299人,民营,1.5万-3万,本科,软件项目 硬件项目 系统集成 ,3-5年,6.25
9371,南京-建邺,装修项目经理,上海路远建筑装饰工程有限公司,100-299人,民营,1万-1.5万,大专,项目经理 ,3-5年,6.2
9372,南京,项目经理,南京浩博科技有限公司,20-99人,民营,1.5万-2万,本科,软件项目 智能汽车 ,3-5年,5.95
9374,南京-秦淮,高级项目经理,江苏智仁景行新材料研究院有限公司,100-299人,民营,1.5万-2.5万,本科,智能化项目 航空航天项目 ,5-10年,6.65
9375,南京-秦淮,木门项目经理（华东区域）,佛山市和筑建材贸易有限公司,100-299人,民营,8千-1万,大专,量尺 现场管理 请款 木门 户内门 工程 ,3-5年,6.2
9376,南京,项目经理,南京上古网络科技有限公司,100-299人,民营,1.5万-2.2万,本科,软件项目 Java项目 PMP项目管理认证 国网 电力 ,5-10年,6.65
9377,南京-浦口,项目经理,南京南大尚诚软件科技有限公司,100-299人,民营,9千-1.6万,大专,软件项目 Java项目 PMP项目管理认证 ,5-10年,6.6
9378,南京-建邺,项目经理,江苏苏北建设集团有限公司,100-299人,民营,1万-1.5万,大专,河道治理 ,3-5年,6.2
9379,南京,项目经理,江苏澳嘉环保科技有限公司,20-99人,民营,1.4万-2万,大专,建筑项目 公路项目 土建预算 市政项目 土建监理 造价项目 钢结构项目 水利项目 ,3-5年,5.9
9380,南京,项目经理,伟思医疗,500-999人,上市公司,1.5万-2万,本科,硬件项目 ,5-10年,7.35
9381,南京-秦淮,EPC项目经理,合纵科技,1000-9999人,上市公司,1.4万-2.5万,大专,电力项目 ,5-10年,7.6
9382,南京-江宁,项目经理/项目总监（园林景观）,上海嘉来景观工程有限公司,300-499人,民营,1.5万-2.5万,大专,施工 施工管理 结算 成本控制 园林工程 ,5-10年,6.8
9383,南京-江宁,景观绿化养护技术主管/项目经理~麒麟城服公司（国企）,智联猎头,1000-9999人,上市公司,9千-1.8万,本科,绿化管理 园林养护 绿植养护 ,5-10年,7.7
9384,南京-江宁,项目经理,南京通奥电梯有限公司,20人以下,民营,5千-7千,大专,项目经理 项目管理 项目跟进 安装 现场管理 项目助理 土建监理 ,1-3年,5.55
9386,南京-浦口,幕墙项目经理,江苏工天建设科技有限公司,20-99人,民营,1.5万-1.8万,大专,幕墙项目 ,5-10年,6.35
9387,南京-栖霞,咨询项目经理,中创碳投,100-299人,民营,1.5万-1.6万,本科,企业管理咨询 政策方案 ,不限,5.65
9388,南京,项目经理,信息产业电子第十一设计研究院科技工程股份有限公司南京分公司,300-499人,国企,1.5万-2万,大专,施工 结算 成本控制 施工管理 工程管理 一级建造师（建筑工程） 一级建造师（市政工程） 一级建造师（机电工程） ,5-10年,7.0
9389,南京-玄武,项目经理,新希望物业服务集团有限公司,1000-9999人,股份制企业,1.3万-1.5万,大专,物业项目经理 ,5-10年,7.3
9390,南京-雨花台,软件开发项目经理,南京百利通信息技术有限责任公司,20人以下,民营,1.3万-1.8万,大专,Java项目 架构设计 ,3-5年,5.75
9391,南京-江宁,住宅项目经理（大体量）,保利物业服务股份有限公司江苏分公司,500-999人,国企,1万-1.2万,大专,住宅地产 ,1-3年,6.5
9392,南京-建邺,项目经理,江苏苏体实业发展有限公司,300-499人,国企,5千-8千,大专,体育场馆管理 ,5-10年,6.95
9393,南京-江宁,项目经理,江苏迈腾电气科技有限公司,100-299人,民营,1万-2万,大专,Java项目 Oracle项目 ,5-10年,6.6
9394,南京-浦口,项目经理,江苏沃坤物联科技有限公司,20-99人,民营,1万-1.5万,大专,工程施工管理 ,3-5年,5.9
9395,南京,项目经理,江苏复合地基建设工程有限公司,20-99人,无,8千-1.5万,学历不限,公路项目 ,5-10年,5.7
9396,南京-江宁,项目经理（渗滤液、水处理、项目、管理）,南京万德斯环保,500-999人,股份制企业,1.2万-2.4万,本科,环保工程 水处理 项目管理 ,5-10年,7.1
9397,南京-江宁,项目经理（涂料、保温）,江西梓凡涂装工程有限公司,20人以下,民营,8千-1.3万,大专,工程施工管理 装饰装修工程 住宅建筑 施工单位 二级建造师（建筑工程） ,3-5年,5.75
9398,南京-栖霞,项目经理,正科医药,100-299人,民营,1.3万-2万,本科,项目经理 ,5-10年,6.7
9399,南京-浦口,星级 酒店 装修 项目经理 精装修,安徽浦信装饰工程有限公司,20-99人,民营,1万-1.5万,大专,安全管理 硬装项目 质量管理 进度管理 成本管理 装修管理 材料管理 采购管理 ,10年以上,6.5
9400,南京-玄武,装饰项目经理,江苏暻华建筑科技有限公司,20-99人,其它,1万-1.3万,大专,装修工程 室内装饰 办公建筑 工业建筑 商业建筑 ,5-10年,6.2
